Saison,Journée,Equipe 1,Equipe 2,Lieu,Buts Equipe 1,Buts Equipe 2,Résultat,Classement Equipe 1,Classement Equipe 2,Moyenne_BM par 1,Moyenne_BM par 2,Moyenne_BM par 1 selon Lieu,Moyenne_BM par 2 selon Lieu,Moyenne_BE par 1,Moyenne_BE par 2,Moyenne_BE par 1 selon Lieu,Moyenne_BE par 2 selon Lieu,Forme 1,Forme 2,Historique
2002-2003,30,Auxerre,Rennais,Extérieur,0,0,0,5,15,1.0689655172413792,0.8275862068965517,1.0666666666666667,1.0,0.9310344827586207,1.1379310344827587,1.2666666666666666,0.7142857142857143,-1.0,-1.0,1
2002-2003,31,Auxerre,Lens,Domicile,0,0,0,6,10,1.0333333333333334,1.1666666666666667,1.0714285714285714,0.6666666666666666,0.9,0.9,0.5714285714285714,0.8666666666666667,-2.0,2.0,-1
2002-2003,32,Auxerre,Ajaccio,Domicile,1,0,1,8,17,1.0,0.7419354838709677,1.0,0.875,0.8709677419354839,1.1612903225806452,0.5333333333333333,1.5625,-3.0,-2.0,-1
2002-2003,33,Auxerre,Nice,Extérieur,0,1,-1,6,9,1.0,1.0625,1.0,1.375,0.84375,0.75,1.1875,0.4375,-1.0,0.0,-1
2002-2003,34,Auxerre,Le Havre,Domicile,1,0,1,8,15,0.9696969696969697,0.7272727272727273,1.0,0.6470588235294118,0.8484848484848485,1.1818181818181819,0.5,1.3529411764705883,-1.0,-3.0,1
2002-2003,35,Auxerre,Bordeaux,Extérieur,1,0,1,6,4,0.9705882352941176,1.5294117647058822,0.9411764705882353,1.625,0.8235294117647058,1.0,1.1764705882352942,0.8125,1.0,2.0,1
2002-2003,36,Auxerre,Lille,Domicile,0,0,0,6,15,0.9714285714285714,0.7714285714285715,1.0,0.5294117647058824,0.8,1.2,0.47058823529411764,1.3529411764705883,2.0,0.0,0
2002-2003,37,Auxerre,Strasbourg,Extérieur,2,1,1,6,13,0.9444444444444444,1.0833333333333333,0.9444444444444444,1.2777777777777777,0.7777777777777778,1.4444444444444444,1.1111111111111112,1.1666666666666667,2.0,0.0,0
2002-2003,38,Auxerre,PSG,Domicile,2,0,1,6,9,0.972972972972973,1.2702702702702702,0.9444444444444444,0.8888888888888888,0.7837837837837838,0.918918918918919,0.4444444444444444,1.1111111111111112,2.0,-1.0,-1
2002-2003,1,Bastia,Lens,Domicile,1,1,0,,,,,,,,,,,,,0
2002-2003,2,Bastia,Nantes,Extérieur,0,1,-1,9,3,1.0,2.0,,,1.0,0.0,,,0.0,1.0,0
2002-2003,3,Bastia,Monaco,Domicile,1,0,1,14,8,0.5,2.0,1.0,4.0,1.0,0.5,1.0,0.0,-1.0,0.0,0
2002-2003,4,Bastia,Lyon,Extérieur,1,4,-1,11,6,0.6666666666666666,3.3333333333333335,0.0,6.0,0.6666666666666666,1.6666666666666667,1.0,1.0,0.0,1.0,0
2002-2003,5,Bastia,Rennais,Domicile,3,1,1,15,19,0.75,0.25,1.0,0.0,1.5,1.75,0.5,2.0,-1.0,-3.0,0
2002-2003,6,Bastia,Auxerre,Extérieur,0,1,-1,11,2,1.2,1.2,0.5,2.0,1.4,0.6,2.5,0.5,0.0,2.0,0
2002-2003,7,Bastia,Ajaccio,Domicile,1,2,-1,12,15,1.0,0.6666666666666666,1.6666666666666667,1.0,1.3333333333333333,1.0,0.6666666666666666,1.3333333333333333,-1.0,-1.0,0
2002-2003,8,Bastia,PSG,Extérieur,1,1,0,15,4,1.0,1.2857142857142858,0.3333333333333333,1.75,1.4285714285714286,0.7142857142857143,2.0,0.75,-1.0,1.0,0
2002-2003,9,Bastia,Bordeaux,Domicile,2,1,1,15,3,1.0,1.0,1.5,1.25,1.375,0.5,1.0,0.5,-2.0,0.0,0
2002-2003,10,Bastia,Nice,Extérieur,0,2,-1,12,2,1.1111111111111112,1.5555555555555556,0.5,2.0,1.3333333333333333,0.5555555555555556,1.75,0.6,0.0,1.0,0
2002-2003,11,Bastia,Le Havre,Domicile,3,1,1,14,17,1.0,0.7,1.6,0.8,1.4,1.3,1.0,1.4,-2.0,-2.0,0
2002-2003,12,Bastia,Strasbourg,Extérieur,0,2,-1,12,9,1.1818181818181819,1.3636363636363635,0.4,1.6666666666666667,1.3636363636363635,1.7272727272727273,1.8,1.3333333333333333,0.0,1.0,0
2002-2003,13,Bastia,Lille,Domicile,1,0,1,13,10,1.0833333333333333,0.9166666666666666,1.8333333333333333,0.6,1.4166666666666667,1.0,1.0,0.8,0.0,3.0,0
2002-2003,14,Bastia,Troyes,Extérieur,0,3,-1,13,20,1.0769230769230769,0.6153846153846154,0.3333333333333333,0.7142857142857143,1.3076923076923077,1.3846153846153846,1.8333333333333333,1.7142857142857142,1.0,-3.0,0
2002-2003,15,Bastia,Guingamp,Domicile,0,2,-1,14,11,1.0,1.3571428571428572,1.7142857142857142,1.3333333333333333,1.4285714285714286,1.2857142857142858,0.8571428571428571,1.6666666666666667,-1.0,0.0,0
2002-2003,16,Bastia,Montpellier,Extérieur,2,2,0,15,17,0.9333333333333333,0.7333333333333333,0.2857142857142857,0.875,1.4666666666666666,1.2,2.0,0.75,-1.0,-1.0,0
2002-2003,17,Bastia,Marseille,Domicile,2,0,1,14,3,1.0,1.0625,1.5,1.0,1.5,0.9375,1.0,1.4285714285714286,-2.0,1.0,0
2002-2003,18,Bastia,Sedan Ardennes,Domicile,0,1,-1,14,15,1.0588235294117647,1.1764705882352942,1.5555555555555556,0.75,1.411764705882353,1.4705882352941178,0.8888888888888888,2.125,0.0,-1.0,0
2002-2003,19,Bastia,Sochaux,Extérieur,0,2,-1,15,8,1.0,1.0,0.5,1.625,1.3888888888888888,0.7777777777777778,2.0,0.5,-2.0,-1.0,0
2002-2003,20,Bastia,Nantes,Domicile,3,1,1,15,9,0.9473684210526315,1.1578947368421053,1.4,0.8,1.4210526315789473,1.105263157894737,0.9,1.2,-2.0,3.0,-1
2002-2003,21,Bastia,Monaco,Extérieur,0,0,0,14,4,1.05,1.6,0.4444444444444444,1.8888888888888888,1.4,1.0,2.0,0.8888888888888888,0.0,2.0,1
2002-2003,22,Bastia,Lyon,Domicile,2,0,1,15,2,1.0,1.7619047619047619,1.5454545454545454,1.0909090909090908,1.3333333333333333,1.1904761904761905,0.9090909090909091,1.2727272727272727,0.0,1.0,-1
2002-2003,23,Bastia,Rennais,Extérieur,1,0,1,13,15,1.0454545454545454,0.9545454545454546,0.4,1.2,1.2727272727272727,1.1363636363636365,1.8,0.8,0.0,3.0,1
2002-2003,24,Bastia,Auxerre,Domicile,2,0,1,13,1,1.0434782608695652,1.0869565217391304,1.5833333333333333,1.0833333333333333,1.2173913043478262,0.782608695652174,0.8333333333333334,1.0833333333333333,2.0,2.0,-1
2002-2003,25,Bastia,Ajaccio,Extérieur,1,1,0,11,17,1.0833333333333333,0.7916666666666666,0.45454545454545453,0.6363636363636364,1.1666666666666667,1.1666666666666667,1.6363636363636365,0.7272727272727273,4.0,1.0,-1
2002-2003,26,Bastia,PSG,Domicile,1,0,1,10,8,1.08,1.28,1.6153846153846154,0.8333333333333334,1.16,0.84,0.7692307692307693,1.1666666666666667,3.0,3.0,0
2002-2003,27,Bastia,Bordeaux,Extérieur,2,0,1,10,6,1.0769230769230769,1.4615384615384615,0.5,2.0,1.1153846153846154,1.0384615384615385,1.5833333333333333,0.8333333333333334,4.0,3.0,1
2002-2003,28,Bastia,Nice,Domicile,1,1,0,9,4,1.1111111111111112,1.1481481481481481,1.5714285714285714,0.7692307692307693,1.0740740740740742,0.7777777777777778,0.7142857142857143,1.2307692307692308,4.0,-1.0,-1
2002-2003,29,Bastia,Le Havre,Extérieur,0,2,-1,9,14,1.1071428571428572,0.75,0.6153846153846154,0.8461538461538461,1.0714285714285714,1.1071428571428572,1.4615384615384615,0.9230769230769231,3.0,1.0,1
2002-2003,30,Bastia,Strasbourg,Domicile,1,1,0,11,13,1.0689655172413792,1.0689655172413792,1.5333333333333334,0.7857142857142857,1.103448275862069,1.3448275862068966,0.7333333333333333,1.7857142857142858,1.0,-2.0,-1
2002-2003,31,Bastia,Lille,Extérieur,1,1,0,11,16,1.0666666666666667,0.8333333333333334,0.5714285714285714,1.0666666666666667,1.1,1.3333333333333333,1.5,1.2,1.0,-4.0,1
2002-2003,32,Bastia,Troyes,Domicile,1,1,0,11,20,1.064516129032258,0.6451612903225806,1.5,0.4,1.096774193548387,1.096774193548387,0.75,1.2,0.0,-2.0,-1
2002-2003,33,Bastia,Guingamp,Extérieur,0,3,-1,12,10,1.0625,1.375,0.6,1.5625,1.09375,1.375,1.4666666666666666,0.9375,-1.0,1.0,-1
2002-2003,34,Bastia,Montpellier,Domicile,1,2,-1,12,17,1.0303030303030303,0.9393939393939394,1.4705882352941178,0.875,1.1515151515151516,1.393939393939394,0.7647058823529411,1.75,-2.0,1.0,0
2002-2003,35,Bastia,Marseille,Extérieur,1,2,-1,12,3,1.0294117647058822,1.0294117647058822,0.5625,1.1764705882352942,1.1764705882352942,0.8529411764705882,1.5625,0.6470588235294118,-2.0,0.0,1
2002-2003,36,Bastia,Sedan Ardennes,Extérieur,2,2,0,12,17,1.0285714285714285,1.0285714285714285,0.5882352941176471,1.5,1.2,1.457142857142857,1.588235294117647,1.0,-3.0,-1.0,-1
2002-2003,37,Bastia,Sochaux,Domicile,2,2,0,12,5,1.0555555555555556,1.1666666666666667,1.4444444444444444,0.8888888888888888,1.2222222222222223,0.7777777777777778,0.8333333333333334,1.1666666666666667,-3.0,3.0,-1
2002-2003,38,Bastia,Lens,Extérieur,0,2,-1,12,10,1.0810810810810811,1.1081081081081081,0.6666666666666666,1.5,1.2432432432432432,0.8378378378378378,1.6111111111111112,0.8888888888888888,-3.0,1.0,0
2002-2003,1,Bordeaux,Lille,Extérieur,3,0,1,,,,,,,,,,,,,0
2002-2003,2,Bordeaux,PSG,Domicile,0,0,0,2,5,3.0,1.0,,,0.0,0.0,,,1.0,1.0,0
2002-2003,3,Bordeaux,Montpellier,Extérieur,1,0,1,3,10,1.5,0.5,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0
2002-2003,4,Bordeaux,Strasbourg,Domicile,1,2,-1,2,16,1.3333333333333333,0.6666666666666666,0.0,0.0,0.0,2.0,0.0,4.0,2.0,-1.0,0
2002-2003,5,Bordeaux,Guingamp,Extérieur,0,0,0,6,5,1.25,2.25,2.0,3.0,0.5,1.25,0.0,1.5,1.0,1.0,0
2002-2003,6,Bordeaux,Troyes,Domicile,1,0,1,7,16,1.0,0.4,0.5,0.0,0.4,1.2,1.0,0.0,1.0,-1.0,0
2002-2003,7,Bordeaux,Marseille,Extérieur,1,2,-1,5,10,1.0,0.8333333333333334,1.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.0,1.0,1.0,1.0,0
2002-2003,8,Bordeaux,Lens,Domicile,1,0,1,7,5,1.0,1.0,0.6666666666666666,1.0,0.5714285714285714,0.7142857142857143,0.6666666666666666,1.0,0.0,2.0,0
