Saison,Journée,Equipe 1,Equipe 2,Equipe 1 à Domicile,Buts Equipe 1,Buts Equipe 2,Résultat,Classement Equipe 1,Classement Equipe 2,Moyenne_BM par 1,Moyenne_BM par 2,Moyenne_BM par 1 à Domicile,Moyenne_BM par 2 à Domicile,Moyenne_BM par 1 à Extérieur,Moyenne_BM par 2 à Extérieur,Moyenne_BE par 1,Moyenne_BE par 2,Moyenne_BE par 1 à Domicile,Moyenne_BE par 2 à Domicile,Moyenne_BE par 1 à Extérieur,Moyenne_BE par 2 à Extérieur,Forme 1,Forme 2,Historique
2002-2003,16,Auxerre,Le Havre,0,1,0,1,7,18,1.2,0.7333333333333333,1.4285714285714286,0.7142857142857143,1.0,0.75,1.0666666666666667,1.3333333333333333,0.7142857142857143,1.2857142857142858,1.375,1.375,-3.0,-2.0,0
2002-2003,17,Auxerre,Bordeaux,1,1,0,1,4,11,1.1875,1.125,1.4285714285714286,1.25,1.0,1.0,1.0,1.0,0.7142857142857143,0.75,1.2222222222222223,1.25,-1.0,1.0,0
2002-2003,18,Auxerre,Lille,0,2,2,0,3,13,1.1764705882352942,0.8823529411764706,1.375,1.1111111111111112,1.0,0.625,0.9411764705882353,1.1764705882352942,0.625,1.1111111111111112,1.2222222222222223,1.25,-1.0,-1.0,0
2002-2003,19,Auxerre,Strasbourg,1,0,0,0,4,11,1.2222222222222223,1.2777777777777777,1.375,1.6,1.1,0.875,1.0,1.6666666666666667,0.625,1.1,1.3,2.375,0.0,-1.0,0
2002-2003,20,Auxerre,Montpellier,0,0,0,0,5,20,1.1578947368421053,0.8421052631578947,1.2222222222222223,1.0,1.1,0.6666666666666666,0.9473684210526315,1.368421052631579,0.5555555555555556,1.0,1.3,1.7777777777777777,1.0,-2.0,1
2002-2003,21,Auxerre,Troyes,1,1,0,1,7,20,1.1,0.7,1.2222222222222223,0.9090909090909091,1.0,0.4444444444444444,0.9,1.1,0.5555555555555556,1.1818181818181819,1.1818181818181819,1.0,2.0,-2.0,1
2002-2003,22,Auxerre,Guingamp,0,2,0,1,4,7,1.0952380952380953,1.5238095238095237,1.2,1.6363636363636365,1.0,1.4,0.8571428571428571,1.2380952380952381,0.5,0.8181818181818182,1.1818181818181819,1.7,2.0,1.0,1
2002-2003,23,Auxerre,Marseille,1,0,0,0,1,3,1.1363636363636365,1.0454545454545454,1.2,1.1666666666666667,1.0833333333333333,0.9,0.8181818181818182,0.9090909090909091,0.5,0.5,1.0833333333333333,1.4,2.0,2.0,0
2002-2003,24,Auxerre,Bastia,0,0,2,-1,1,13,1.0869565217391304,1.0434782608695652,1.0909090909090908,1.5833333333333333,1.0833333333333333,0.45454545454545453,0.782608695652174,1.2173913043478262,0.45454545454545453,0.8333333333333334,1.0833333333333333,1.6363636363636365,2.0,2.0,1
2002-2003,25,Auxerre,Sochaux,1,2,0,1,4,3,1.0416666666666667,1.0833333333333333,1.0909090909090908,1.5833333333333333,1.0,0.5833333333333334,0.8333333333333334,0.75,0.45454545454545453,0.3333333333333333,1.1538461538461537,1.1666666666666667,1.0,2.0,0
