Saison,Journée,Domicile,Extérieur,Buts domicile,Buts extérieur,Résultat
2002-2003,17,Auxerre,Bordeaux,1,0,1
2002-2003,17,Lyon,Strasbourg,2,1,1
2002-2003,18,Nice,Ajaccio,3,0,1
2002-2003,18,Le Havre,Bordeaux,1,0,1
2002-2003,18,Troyes,Lens,0,0,0
2002-2003,18,Lille,Auxerre,2,2,0
2002-2003,18,Strasbourg,Rennes,1,3,-1
2002-2003,18,Guingamp,Nantes,2,0,1
2002-2003,18,Paris Saint Germain,Lyon,2,0,1
2002-2003,18,Marseille,Sochaux,1,0,1
2002-2003,18,Montpellier,Monaco,1,2,-1
2002-2003,18,Bastia,Sedan,0,1,-1
2002-2003,19,Sedan,Marseille,1,2,-1
2002-2003,19,Sochaux,Bastia,2,0,1
2002-2003,19,Bordeaux,Nice,4,0,1
2002-2003,19,Monaco,Guingamp,4,0,1
2002-2003,19,Lyon,Montpellier,1,1,0
2002-2003,19,Auxerre,Strasbourg,0,0,0
2002-2003,19,Rennes,Paris Saint Germain,1,0,1
2002-2003,19,Nantes,Troyes,2,1,1
2002-2003,19,Lens,Le Havre,1,0,1
2002-2003,19,Ajaccio,Lille,2,2,0
2002-2003,20,Paris Saint Germain,Bordeaux,1,1,0
2002-2003,20,Troyes,Rennes,0,1,-1
2002-2003,20,Guingamp,Ajaccio,3,1,1
2002-2003,20,Sochaux,Lens,3,0,1
2002-2003,20,Lille,Le Havre,1,0,1
2002-2003,20,Sedan,Lyon,1,1,0
2002-2003,20,Marseille,Monaco,1,1,0
2002-2003,20,Strasbourg,Nice,0,0,0
2002-2003,20,Bastia,Nantes,3,1,1
2002-2003,21,Lyon,Marseille,1,0,1
2002-2003,21,Rennes,Guingamp,2,1,1
2002-2003,21,Auxerre,Troyes,1,0,1
2002-2003,21,Monaco,Bastia,0,0,0
2002-2003,21,Nice,Lille,2,0,1
2002-2003,21,Ajaccio,Paris Saint Germain,0,0,0
2002-2003,21,Bordeaux,Montpellier,3,1,1
2002-2003,22,Marseille,Rennes,2,0,1
2002-2003,22,Bastia,Lyon,2,0,1
2002-2003,22,Sedan,Ajaccio,1,1,0
2002-2003,22,Montpellier,Nice,2,2,0
2002-2003,22,Sochaux,Monaco,0,0,0
2002-2003,22,Paris Saint Germain,Le Havre,1,0,1
2002-2003,22,Guingamp,Auxerre,0,2,-1
2002-2003,20,Montpellier,Auxerre,0,0,0
2002-2003,21,Le Havre,Strasbourg,1,1,0
2002-2003,21,Lens,Sedan,4,0,1
2002-2003,23,Auxerre,Marseille,0,0,0
2002-2003,23,Lyon,Sochaux,4,1,1
2002-2003,23,Monaco,Lens,1,1,0
2002-2003,23,Le Havre,Montpellier,1,0,1
2002-2003,23,Nice,Paris Saint Germain,0,0,0
2002-2003,23,Bordeaux,Guingamp,4,2,1
2002-2003,23,Nantes,Sedan,4,1,1
2002-2003,23,Ajaccio,Troyes,1,0,1
