,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Team
91,2023-11-24,21:00,Ligue 1,Matchweek 13,Fri,Away,L,2.0,5.0,Paris S-G,1.6,2.6,46.0,47896.0,Guillermo Maripán,3-4-3,Benoît Bastien,Match Report,,Monaco
92,2023-12-03,15:00,Ligue 1,Matchweek 14,Sun,Home,W,2.0,0.0,Montpellier,2.2,0.9,63.0,4599.0,Guillermo Maripán,4-2-3-1,Jeremy Stinat,Match Report,,Monaco
93,2023-12-09,17:00,Ligue 1,Matchweek 15,Sat,Away,W,2.0,1.0,Rennes,0.9,1.7,53.0,26856.0,Youssouf Fofana,3-4-3,Clément Turpin,Match Report,,Monaco
94,2023-12-15,21:00,Ligue 1,Matchweek 16,Fri,Home,L,0.0,1.0,Lyon,1.3,0.7,60.0,6000.0,Youssouf Fofana,3-4-3,Ruddy Buquet,Match Report,,Monaco
95,2023-12-20,21:00,Ligue 1,Matchweek 17,Wed,Away,W,2.0,1.0,Toulouse,1.9,1.4,45.0,23881.0,Wissam Ben Yedder,3-5-2,Jérôme Brisard,Match Report,,Monaco
96,2024-01-07,14:30,Coupe de France,Round of 64,Sun,Away,,,,Lens,,,,,,,,Head-to-Head,,Monaco
97,2024-01-13,17:00,Ligue 1,Matchweek 18,Sat,Home,,,,Reims,,,,,,,,Head-to-Head,,Monaco
98,2024-01-28,,Ligue 1,Matchweek 19,Sun,Away,,,,Marseille,,,,,,,,Head-to-Head,,Monaco
99,2024-02-04,,Ligue 1,Matchweek 20,Sun,Home,,,,Le Havre,,,,,,,,Head-to-Head,,Monaco
100,2024-02-11,,Ligue 1,Matchweek 21,Sun,Away,,,,Nice,,,,,,,,Head-to-Head,,Monaco
101,2024-02-18,,Ligue 1,Matchweek 22,Sun,Home,,,,Toulouse,,,,,,,,Head-to-Head,,Monaco
102,2024-02-25,,Ligue 1,Matchweek 23,Sun,Away,,,,Lens,,,,,,,,Head-to-Head,,Monaco
103,2024-03-03,,Ligue 1,Matchweek 24,Sun,Home,,,,Paris S-G,,,,,,,,Head-to-Head,,Monaco
104,2024-03-10,,Ligue 1,Matchweek 25,Sun,Away,,,,Strasbourg,,,,,,,,Head-to-Head,,Monaco
105,2024-03-17,,Ligue 1,Matchweek 26,Sun,Home,,,,Lorient,,,,,,,,Head-to-Head,,Monaco
106,2024-03-31,,Ligue 1,Matchweek 27,Sun,Away,,,,Metz,,,,,,,,Head-to-Head,,Monaco
107,2024-04-07,,Ligue 1,Matchweek 28,Sun,Home,,,,Rennes,,,,,,,,Head-to-Head,,Monaco
108,2024-04-14,,Ligue 1,Matchweek 29,Sun,Home,,,,Lille,,,,,,,,Head-to-Head,,Monaco
109,2024-04-21,,Ligue 1,Matchweek 30,Sun,Away,,,,Brest,,,,,,,,Head-to-Head,,Monaco
110,2024-04-28,,Ligue 1,Matchweek 31,Sun,Away,,,,Lyon,,,,,,,,Head-to-Head,,Monaco
111,2024-05-03,,Ligue 1,Matchweek 32,Fri,Home,,,,Clermont Foot,,,,,,,,Head-to-Head,,Monaco
112,2024-05-11,21:00,Ligue 1,Matchweek 33,Sat,Away,,,,Montpellier,,,,,,,,Head-to-Head,,Monaco
113,2024-05-18,21:00,Ligue 1,Matchweek 34,Sat,Home,,,,Nantes,,,,,,,,Head-to-Head,,Monaco
114,2023-08-13,13:00,Ligue 1,Matchweek 1,Sun,Home,W,3.0,2.0,Lens,2.5,0.7,48.0,15085.0,Brendan Chardonnet,4-2-3-1,Jérémie Pignard,Match Report,,Brest
115,2023-08-20,15:00,Ligue 1,Matchweek 2,Sun,Away,W,2.0,1.0,Le Havre,1.1,1.2,44.0,19574.0,Brendan Chardonnet,4-3-3,Florent Batta,Match Report,,Brest
116,2023-08-26,19:00,Ligue 1,Matchweek 3,Sat,Away,L,0.0,2.0,Marseille,1.5,2.9,56.0,63592.0,Brendan Chardonnet,4-3-3,Jeremy Stinat,Match Report,,Brest
117,2023-09-02,17:00,Ligue 1,Matchweek 4,Sat,Home,D,0.0,0.0,Rennes,1.4,0.3,48.0,15021.0,Brendan Chardonnet,4-2-3-1,Hakim Ben El Hadj Salem,Match Report,,Brest
118,2023-09-17,15:00,Ligue 1,Matchweek 5,Sun,Away,W,2.0,1.0,Reims,1.5,1.7,48.0,12948.0,Brendan Chardonnet,4-3-3,Gaël Angoula,Match Report,,Brest
119,2023-09-23,21:00,Ligue 1,Matchweek 6,Sat,Home,W,1.0,0.0,Lyon,2.4,0.4,57.0,14636.0,Brendan Chardonnet,4-2-3-1,Thomas Léonard,Match Report,,Brest
120,2023-10-01,15:00,Ligue 1,Matchweek 7,Sun,Away,D,0.0,0.0,Nice,0.2,1.1,46.0,32044.0,Brendan Chardonnet,4-2-3-1,Romain Lissorgue,Match Report,,Brest
121,2023-10-08,15:00,Ligue 1,Matchweek 8,Sun,Home,D,1.0,1.0,Toulouse,1.5,1.2,55.0,13549.0,Brendan Chardonnet,4-2-3-1,Pierre Gaillouste,Match Report,,Brest
122,2023-10-22,15:00,Ligue 1,Matchweek 9,Sun,Away,L,0.0,1.0,Lille,0.8,1.6,57.0,34358.0,Brendan Chardonnet,4-3-3,Hakim Ben El Hadj Salem,Match Report,,Brest
123,2023-10-29,13:00,Ligue 1,Matchweek 10,Sun,Home,L,2.0,3.0,Paris S-G,1.8,2.1,44.0,15183.0,Brendan Chardonnet,4-2-3-1,Jérôme Brisard,Match Report,,Brest
124,2023-11-05,17:05,Ligue 1,Matchweek 11,Sun,Away,L,0.0,2.0,Monaco,0.8,0.8,54.0,9244.0,Brendan Chardonnet,4-3-3,Eric Wattellier,Match Report,,Brest
125,2023-11-26,15:00,Ligue 1,Matchweek 13,Sun,Away,W,3.0,1.0,Montpellier,1.7,1.7,47.0,12311.0,Brendan Chardonnet,4-3-3,Pierre Gaillouste,Match Report,,Brest
126,2023-12-03,15:00,Ligue 1,Matchweek 14,Sun,Home,W,3.0,0.0,Clermont Foot,1.4,0.8,57.0,14324.0,Brendan Chardonnet,4-3-3,Marc Bollengier,Match Report,,Brest
127,2023-12-07,20:30,Ligue 1,Matchweek 12,Thu,Home,D,1.0,1.0,Strasbourg,1.1,1.5,61.0,14569.0,Hugo Magnetti,4-3-3,Jérémie Pignard,Match Report,,Brest
128,2023-12-10,15:00,Ligue 1,Matchweek 15,Sun,Away,W,1.0,0.0,Metz,0.3,0.2,67.0,20157.0,Brendan Chardonnet,4-3-3,Romain Lissorgue,Match Report,,Brest
129,2023-12-17,13:00,Ligue 1,Matchweek 16,Sun,Away,W,2.0,0.0,Nantes,1.9,1.0,49.0,30075.0,Brendan Chardonnet,4-3-3,Benoît Millot,Match Report,,Brest
130,2023-12-20,21:00,Ligue 1,Matchweek 17,Wed,Home,W,4.0,0.0,Lorient,2.0,0.5,59.0,14544.0,Brendan Chardonnet,4-3-3,Mathieu Vernice,Match Report,,Brest
131,2024-01-06,15:30,Coupe de France,Round of 64,Sat,Home,,,,Angers,,,,,,,,Head-to-Head,,Brest
132,2024-01-14,15:00,Ligue 1,Matchweek 18,Sun,Home,,,,Montpellier,,,,,,,,Head-to-Head,,Brest
133,2024-01-28,,Ligue 1,Matchweek 19,Sun,Away,,,,Paris S-G,,,,,,,,Head-to-Head,,Brest
134,2024-02-04,,Ligue 1,Matchweek 20,Sun,Home,,,,Nice,,,,,,,,Head-to-Head,,Brest
135,2024-02-11,,Ligue 1,Matchweek 21,Sun,Away,,,,Clermont Foot,,,,,,,,Head-to-Head,,Brest
136,2024-02-18,,Ligue 1,Matchweek 22,Sun,Home,,,,Marseille,,,,,,,,Head-to-Head,,Brest
137,2024-02-25,,Ligue 1,Matchweek 23,Sun,Away,,,,Strasbourg,,,,,,,,Head-to-Head,,Brest
138,2024-03-03,,Ligue 1,Matchweek 24,Sun,Home,,,,Le Havre,,,,,,,,Head-to-Head,,Brest
139,2024-03-10,,Ligue 1,Matchweek 25,Sun,Away,,,,Lens,,,,,,,,Head-to-Head,,Brest
140,2024-03-17,,Ligue 1,Matchweek 26,Sun,Home,,,,Lille,,,,,,,,Head-to-Head,,Brest
141,2024-03-31,,Ligue 1,Matchweek 27,Sun,Away,,,,Lorient,,,,,,,,Head-to-Head,,Brest
142,2024-04-07,,Ligue 1,Matchweek 28,Sun,Home,,,,Metz,,,,,,,,Head-to-Head,,Brest
143,2024-04-14,,Ligue 1,Matchweek 29,Sun,Away,,,,Lyon,,,,,,,,Head-to-Head,,Brest
144,2024-04-21,,Ligue 1,Matchweek 30,Sun,Home,,,,Monaco,,,,,,,,Head-to-Head,,Brest
145,2024-04-28,,Ligue 1,Matchweek 31,Sun,Away,,,,Rennes,,,,,,,,Head-to-Head,,Brest
146,2024-05-03,,Ligue 1,Matchweek 32,Fri,Home,,,,Nantes,,,,,,,,Head-to-Head,,Brest
147,2024-05-11,21:00,Ligue 1,Matchweek 33,Sat,Home,,,,Reims,,,,,,,,Head-to-Head,,Brest
148,2024-05-18,21:00,Ligue 1,Matchweek 34,Sat,Away,,,,Toulouse,,,,,,,,Head-to-Head,,Brest
149,2023-08-11,21:00,Ligue 1,Matchweek 1,Fri,Away,D,1.0,1.0,Nice,1.3,1.2,60.0,29436.0,Benjamin André,4-2-3-1,Benoît Bastien,Match Report,,Lille
150,2023-08-20,13:00,Ligue 1,Matchweek 2,Sun,Home,W,2.0,0.0,Nantes,2.2,1.1,64.0,34356.0,Benjamin André,4-2-3-1,Pierre Gaillouste,Match Report,,Lille
151,2023-08-24,20:00,Conf Lg,Play-off round,Thu,Home,W,2.0,1.0,hr Rijeka,,,,22189.0,Benjamin André,4-2-3-1,Atilla Karaoğlan,Match Report,Leg 1 of 2,Lille
152,2023-08-27,17:05,Ligue 1,Matchweek 3,Sun,Away,L,1.0,4.0,Lorient,1.1,1.6,64.0,15101.0,Benjamin André,4-2-3-1,Willy Delajod,Match Report,,Lille
153,2023-08-31,20:15,Conf Lg,Play-off round,Thu,Away,D,1.0,1.0,hr Rijeka,,,,7852.0,Benjamin André,4-2-3-1,Luís Godinho,Match Report,Leg 2 of 2; Lille won; Required Extra Time,Lille
154,2023-09-03,15:00,Ligue 1,Matchweek 4,Sun,Home,W,1.0,0.0,Montpellier,1.2,0.3,58.0,35298.0,Benjamin André,3-4-3,Benoît Millot,Match Report,,Lille
